Trace#,Angle,Velocity,Velocity(abs),Duration,Run length,Run length(abs),Avg Intensity,Dx,Dy,Vx,Vy
1,183.799,-3303.329,3303.329,1.2,-4012.412,4012.412,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
#2,55.008,-4959.084,4959.084,0.6,-2975.45,2975.45,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
3,49.267,-2256.471,2256.471,1.2,-2724.599,2724.599,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
#4,0,0,0,0,0,0,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
5,49.416,4020.688,4020.688,1.2,4755.075,4755.075,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
6,197.663,-2847.114,2847.114,1.2,-3541.43,3541.43,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
7,183.592,-2938.859,2938.859,1.2,-3513.086,3513.086,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
#8,144.307,-3435.15,3435.15,1.2,-3999.155,3999.155,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
,,,,,,,,,,,
,,3303.33,,,,,,,,,
,,2256.47,,,,,,,,,
,,4020.688,,,,,,,,,
,,2847.11,,,,,,,,,
,,2938.86,,,,,,,,,
,,,,,,,,,,,
,ave,3073.2916,,,,,,,,,
,std,649.4045545,,,,,,,,,
