Trace#,Angle,Velocity,Velocity(abs),Duration,Run length,Run length(abs),Avg Intensity,Dx,Dy,Vx,Vy
1,121.168,-1876.661,1876.661,1.2,-2222.51,2222.51,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
#2,64.365,-2555.158,2555.158,1.2,-1921.251,1921.251,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
3,182.274,-2658.285,2658.285,1.2,-2890.428,2890.428,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
4,174.489,-1775.306,1775.306,1.2,-1957.223,1957.223,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
5,58.173,-1803.146,1803.146,1.2,-2001.636,2001.636,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
#6,203.313,105115.386,105115.386,0.3,31534.616,31534.616,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
7,141.27,-2327.7,2327.7,1.2,-2848.577,2848.577,-1,3566550302085768200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
,,-1876.661,,,,,,,,,
,,-2658.285,,,,,,,,,
,,-1775.306,,,,,,,,,
,,-1803.146,,,,,,,,,
,,-2327.7,,,,,,,,,
,ave,-2088.2196,,,,,,,,,
,std,348.2138257,,,,,,,,,
