TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:18:41
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	-0.00041
MAXY	-0.00015
MINY	-0.00936
XYDATA
550.0000	-0.00041
549.8000	-0.00037
549.6000	-0.0003
549.4000	-0.00031
549.2000	-0.00039
549.0000	-0.00032
548.8000	-0.00015
548.6000	-0.00022
548.4000	-0.00043
548.2000	-0.00033
548.0000	-0.00035
547.8000	-0.00028
547.6000	-0.00033
547.4000	-0.00037
547.2000	-0.00035
547.0000	-0.00053
546.8000	-0.00042
546.6000	-0.00046
546.4000	-0.00045
546.2000	-0.00019
546.0000	-0.00025
545.8000	-0.00057
545.6000	-0.00068
545.4000	-0.0005
545.2000	-0.00036
545.0000	-0.0004
544.8000	-0.00039
544.6000	-0.00039
544.4000	-0.00056
544.2000	-0.00062
544.0000	-0.00058
543.8000	-0.00057
543.6000	-0.0004
543.4000	-0.00045
543.2000	-0.00062
543.0000	-0.00056
542.8000	-0.00057
542.6000	-0.00058
542.4000	-0.00051
542.2000	-0.00046
542.0000	-0.00058
541.8000	-0.00066
541.6000	-0.00062
541.4000	-0.00055
541.2000	-0.00046
541.0000	-0.00048
540.8000	-0.00058
540.6000	-0.00065
540.4000	-0.00068
540.2000	-0.00064
540.0000	-0.0006
539.8000	-0.0006
539.6000	-0.00063
539.4000	-0.00074
539.2000	-0.00057
539.0000	-0.00032
538.8000	-0.00069
538.6000	-0.0009
538.4000	-0.00065
538.2000	-0.00063
538.0000	-0.00075
537.8000	-0.00066
537.6000	-0.00067
537.4000	-0.0008
537.2000	-0.00082
537.0000	-0.0007
536.8000	-0.00061
536.6000	-0.00081
536.4000	-0.00084
536.2000	-0.00065
536.0000	-0.00057
535.8000	-0.00064
535.6000	-0.00065
535.4000	-0.00077
535.2000	-0.00086
535.0000	-0.00066
534.8000	-0.00076
534.6000	-0.00085
534.4000	-0.00081
534.2000	-0.0009
534.0000	-0.00081
533.8000	-0.00072
533.6000	-0.00082
533.4000	-0.0008
533.2000	-0.0008
533.0000	-0.00081
532.8000	-0.00071
532.6000	-0.001
532.4000	-0.0012
532.2000	-0.0011
532.0000	-0.00082
531.8000	-0.00073
531.6000	-0.0009
531.4000	-0.001
531.2000	-0.0009
531.0000	-0.00078
530.8000	-0.00091
530.6000	-0.00083
530.4000	-0.00079
530.2000	-0.00106
530.0000	-0.00105
529.8000	-0.0009
529.6000	-0.00103
529.4000	-0.00104
529.2000	-0.00088
529.0000	-0.00083
528.8000	-0.0009
528.6000	-0.00097
528.4000	-0.00101
528.2000	-0.00115
528.0000	-0.00089
527.8000	-0.00081
527.6000	-0.00099
527.4000	-0.00102
527.2000	-0.00104
527.0000	-0.00102
526.8000	-0.00093
526.6000	-0.00089
526.4000	-0.00107
526.2000	-0.00111
526.0000	-0.00106
525.8000	-0.00113
525.6000	-0.00115
525.4000	-0.00104
525.2000	-0.00092
525.0000	-0.00084
524.8000	-0.00103
524.6000	-0.00118
524.4000	-0.0011
524.2000	-0.00111
524.0000	-0.00108
523.8000	-0.00099
523.6000	-0.00112
523.4000	-0.00129
523.2000	-0.00105
523.0000	-0.00088
522.8000	-0.00112
522.6000	-0.00112
522.4000	-0.00107
522.2000	-0.00105
522.0000	-0.00114
521.8000	-0.0013
521.6000	-0.00124
521.4000	-0.0014
521.2000	-0.00128
521.0000	-0.00086
520.8000	-0.00099
520.6000	-0.00133
520.4000	-0.00129
520.2000	-0.00116
520.0000	-0.00139
519.8000	-0.00146
519.6000	-0.00144
519.4000	-0.00144
519.2000	-0.00155
519.0000	-0.00152
518.8000	-0.00136
518.6000	-0.00136
518.4000	-0.00134
518.2000	-0.00136
518.0000	-0.0015
517.8000	-0.00151
517.6000	-0.00144
517.4000	-0.00147
517.2000	-0.00144
517.0000	-0.00143
516.8000	-0.00159
516.6000	-0.00159
516.4000	-0.00134
516.2000	-0.00139
