wl,value_nat,value_unf,value_ref,int_nat,int_unf,int_ref,pc_nat,pc_unf,pc_ref,value_yfp,value_lys,value_exc,int_yfp,int_lys,int_exc,pc_yfp,pc_lys,pc_exc
360,0.003597,0.1305,0.004438,0.004125691,0.002213411,0.002319494,1.146981,0.016961,0.522644,0.011615,0.258641,0.001142,0.003027717,0.005904774,2.467116466,0.260673,0.02283,2160.347168
361,0.007194,0.261001,0.008875,0.008251381,0.004426838,0.004638466,,,,0.02323,0.517281,0.002283,0.006055434,0.011809525,4.932072585,,,
362,0.008349,0.314065,0.012569,0.009576144,0.005326856,0.006569112,,,,0.03039,0.569764,0.002325,0.007921852,0.013007712,5.022807166,,,
363,0.006038,0.36713,0.005182,0.006925471,0.006226892,0.002708341,,,,0.037549,0.464798,0.002367,0.00978801,0.010611338,5.113541747,,,
364,0.007915,0.306215,0.002591,0.009078355,0.005193713,0.001354171,,,,0.038622,0.337817,0.002395,0.010067713,0.007712362,5.174031467,,,
365,0.009792,0.2453,0.003928,0.011231238,0.004160533,0.002052946,,,,0.039694,0.210836,0.002423,0.010347154,0.004813386,5.234521188,,,
366,0.010916,0.380383,0.007856,0.012520445,0.006451676,0.004105891,,,,0.041987,0.443744,0.002777,0.010944877,0.010130676,5.999284086,,,
367,0.012073,0.244887,0.009394,0.013847502,0.004153528,0.004909718,,,,0.044642,0.303728,0.003202,0.011636964,0.00693411,6.917431632,,,
368,0.01323,0.109391,0.010933,0.015174559,0.001855381,0.005714067,,,,0.047296,0.163713,0.003627,0.01232879,0.003737568,7.835579178,,,
369,0.011182,0.160744,0.013351,0.012825542,0.002726379,0.00697782,,,,0.042442,0.229273,0.004124,0.011063483,0.005234303,8.909271721,,,
370,0.009134,0.212098,0.01577,0.010476524,0.003597394,0.008242096,,,,0.037589,0.294833,0.00462,0.009798437,0.006731037,9.980803916,,,
371,0.008527,0.343296,0.013141,0.009780307,0.005822643,0.006868065,,,,0.040229,0.483826,0.005929,0.010486614,0.011045748,12.80869836,,,
372,0.00792,0.474494,0.010512,0.00908409,0.008047893,0.005494034,,,,0.042869,0.672819,0.007237,0.011174791,0.015360458,15.63443245,,,
373,0.010133,0.369612,0.005256,0.011622358,0.006268989,0.002747017,,,,0.040916,0.828848,0.009222,0.010665696,0.0189226,19.92272158,,,
