TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:34:43
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	0.00063
MAXY	0.26972
MINY	0.00051
XYDATA
550.0000	0.00063
549.8000	0.00072
549.6000	0.0009
549.4000	0.00075
549.2000	0.00066
549.0000	0.00077
548.8000	0.00064
548.6000	0.00063
548.4000	0.00069
548.2000	0.00051
548.0000	0.00064
547.8000	0.00067
547.6000	0.00069
547.4000	0.00064
547.2000	0.00064
547.0000	0.00073
546.8000	0.00065
546.6000	0.00074
546.4000	0.00064
546.2000	0.00054
546.0000	0.00053
545.8000	0.00079
545.6000	0.00105
545.4000	0.00082
545.2000	0.00051
545.0000	0.00056
544.8000	0.00059
544.6000	0.00052
544.4000	0.00073
544.2000	0.00093
544.0000	0.00096
543.8000	0.0009
543.6000	0.00059
543.4000	0.00066
543.2000	0.00087
543.0000	0.00082
542.8000	0.00079
542.6000	0.00062
542.4000	0.00051
542.2000	0.00066
542.0000	0.00084
541.8000	0.00084
541.6000	0.00075
541.4000	0.00058
541.2000	0.00057
541.0000	0.00071
540.8000	0.0008
540.6000	0.00084
540.4000	0.00084
540.2000	0.00071
540.0000	0.00074
539.8000	0.00075
539.6000	0.00066
539.4000	0.00079
539.2000	0.00063
539.0000	0.00052
538.8000	0.00084
538.6000	0.00109
538.4000	0.00088
538.2000	0.00079
538.0000	0.00067
537.8000	0.00058
537.6000	0.0008
537.4000	0.0009
537.2000	0.0009
537.0000	0.00058
536.8000	0.00053
536.6000	0.00079
536.4000	0.001
536.2000	0.00097
536.0000	0.00065
535.8000	0.00064
535.6000	0.00076
535.4000	0.00085
535.2000	0.00088
535.0000	0.00084
534.8000	0.00101
534.6000	0.00085
534.4000	0.00092
534.2000	0.00098
534.0000	0.00071
533.8000	0.00072
533.6000	0.00088
533.4000	0.00074
533.2000	0.00079
533.0000	0.00088
532.8000	0.00066
532.6000	0.00099
532.4000	0.00125
532.2000	0.00115
532.0000	0.00084
531.8000	0.00074
531.6000	0.00093
531.4000	0.00113
531.2000	0.001
531.0000	0.00071
530.8000	0.00087
530.6000	0.0009
530.4000	0.00093
530.2000	0.00099
530.0000	0.00105
529.8000	0.00108
529.6000	0.00114
529.4000	0.00111
529.2000	0.00063
529.0000	0.00057
528.8000	0.00092
528.6000	0.0011
528.4000	0.00118
528.2000	0.00102
528.0000	0.00071
527.8000	0.00088
527.6000	0.00106
527.4000	0.00104
527.2000	0.00097
527.0000	0.00111
526.8000	0.00109
526.6000	0.00096
526.4000	0.00113
526.2000	0.00121
526.0000	0.00115
525.8000	0.00104
525.6000	0.00107
525.4000	0.00127
525.2000	0.00126
525.0000	0.00117
524.8000	0.00112
524.6000	0.00105
524.4000	0.00122
524.2000	0.00137
524.0000	0.00111
523.8000	0.00085
523.6000	0.00116
523.4000	0.00144
523.2000	0.00118
523.0000	0.00098
522.8000	0.00126
522.6000	0.00139
522.4000	0.00137
522.2000	0.00134
522.0000	0.00148
521.8000	0.00151
521.6000	0.00149
521.4000	0.00176
521.2000	0.00171
521.0000	0.00132
520.8000	0.00132
520.6000	0.00165
520.4000	0.00169
520.2000	0.00156
520.0000	0.00182
519.8000	0.00205
519.6000	0.00188
519.4000	0.00178
519.2000	0.00195
519.0000	0.00205
518.8000	0.00188
518.6000	0.00182
518.4000	0.0019
518.2000	0.00197
518.0000	0.00212
517.8000	0.00227
517.6000	0.00228
517.4000	0.00234
517.2000	0.00239
517.0000	0.00246
516.8000	0.00271
516.6000	0.0028
516.4000	0.00254
516.2000	0.00272
516.0000	0.00308
515.8000	0.00284
515.6000	0.00285
515.4000	0.00319
515.2000	0.00314
515.0000	0.00327
514.8000	0.00361
514.6000	0.0035
514.4000	0.00361
514.2000	0.00394
514.0000	0.0037
513.8000	0.00392
513.6000	0.00416
513.4000	0.00418
513.2000	0.00442
513.0000	0.00433
512.8000	0.00444
512.6000	0.00455
