t_ref,V_ref,t_unf,V_unf
-312.5,0.021321357,-78.125,0.61651455
-312.421875,0.118315803,-78.10546875,1.166262792
-312.34375,0.123742066,-78.0859375,1.166601934
-312.265625,0.121368076,-78.06640625,1.164227944
-312.1875,0.118654945,-78.046875,1.165584509
-312.109375,0.117976662,-78.02734375,1.154731984
-312.03125,0.117637521,-78.0078125,1.148288297
-311.953125,0.117298379,-77.98828125,1.157105974
-311.875,0.117298379,-77.96875,1.155410267
-311.796875,0.116620096,-77.94921875,1.149984004
-311.71875,0.116280955,-77.9296875,1.149984004
-311.640625,0.116280955,-77.91015625,1.146931731
-311.5625,0.116280955,-77.890625,1.145914307
-311.484375,0.116280955,-77.87109375,1.140148903
-311.40625,0.116280955,-77.8515625,1.139809761
-311.328125,0.116280955,-77.83203125,1.140827186
-311.25,0.116620096,-77.8125,1.13947062
-311.171875,0.116620096,-77.79296875,1.12997466
-311.09375,0.116620096,-77.7734375,1.12997466
-311.015625,0.116280955,-77.75390625,1.127261529
-310.9375,0.116280955,-77.734375,1.136418347
-310.859375,0.115941814,-77.71484375,1.134383499
-310.78125,0.115941814,-77.6953125,1.136418347
-310.703125,0.115941814,-77.67578125,1.130992084
-310.625,0.115941814,-77.65625,1.125565822
-310.546875,0.116280955,-77.63671875,1.121156983
-310.46875,0.116280955,-77.6171875,1.133366074
-310.390625,0.116280955,-77.59765625,1.134383499
-310.3125,0.116620096,-77.578125,1.129635519
-310.234375,0.116280955,-77.55859375,1.131670367
-310.15625,0.116280955,-77.5390625,1.126922387
-310.078125,0.115941814,-77.51953125,1.134044357
-310,0.115941814,-77.5,1.13472264
-309.921875,0.115941814,-77.48046875,1.124548397
-309.84375,0.115941814,-77.4609375,1.129635519
-309.765625,0.115941814,-77.44140625,1.129635519
-309.6875,0.115941814,-77.421875,1.130652943
-309.609375,0.116280955,-77.40234375,1.130313802
-309.53125,0.116280955,-77.3828125,1.137435771
-309.453125,0.116280955,-77.36328125,1.12997466
-309.375,0.116280955,-77.34375,1.120139559
-309.296875,0.116280955,-77.32421875,1.13709663
-309.21875,0.116280955,-77.3046875,1.138792337
-309.140625,0.116280955,-77.28515625,1.136757489
-309.0625,0.116620096,-77.265625,1.132009509
-308.984375,0.116959238,-77.24609375,1.128957236
-308.90625,0.116959238,-77.2265625,1.128957236
-308.828125,0.117298379,-77.20703125,1.133366074
-308.75,0.117298379,-77.1875,1.131331226
-308.671875,0.117637521,-77.16796875,1.130313802
-308.59375,0.117637521,-77.1484375,1.138114054
-308.515625,0.117637521,-77.12890625,1.136418347
-308.4375,0.117976662,-77.109375,1.138453196
-308.359375,0.117976662,-77.08984375,1.13947062
-308.28125,0.117976662,-77.0703125,1.149984004
-308.203125,0.118315803,-77.05078125,1.150662287
-308.125,0.118654945,-77.03125,1.161514812
-308.046875,0.118994086,-77.01171875,1.154392842
-307.96875,0.119333228,-76.9921875,1.15371456
-307.890625,0.120011511,-76.97265625,1.176097893
-307.8125,0.120350652,-76.953125,1.179489308
-307.734375,0.120689793,-76.93359375,1.174741328
-307.65625,0.121028935,-76.9140625,1.179828449
-307.578125,0.121707218,-76.89453125,1.183559005
-307.5,0.121707218,-76.875,1.175758752
-307.421875,0.122385501,-76.85546875,1.181863297
-307.34375,0.123063783,-76.8359375,1.18728956
-307.265625,0.123402925,-76.81640625,1.181524156
-307.1875,0.124420349,-76.796875,1.18491557
-307.109375,0.125098632,-76.77734375,1.191698399
-307.03125,0.126116056,-76.7578125,1.185254712
-306.953125,0.127472622,-76.73828125,1.191698399
-306.875,0.133577167,-76.71875,1.182880722
-306.796875,0.144429693,-76.69921875,1.179828449
-306.71875,0.156299643,-76.6796875,1.19441153
-306.640625,0.168508734,-76.66015625,1.188985267
-306.5625,0.175630703,-76.640625,1.181524156
-306.484375,0.18207439,-76.62109375,1.186611277
