TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:25:33
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	-0.00013
MAXY	0.00033
MINY	-0.00059
XYDATA
550.0000	-0.00013
549.8000	-0.00019
549.6000	-7E-005
549.4000	5E-005
549.2000	0.0001
549.0000	-0.00023
548.8000	-0.00046
548.6000	-0.00025
548.4000	-0.00017
548.2000	-0.00015
548.0000	-0.00011
547.8000	-0.00044
547.6000	-0.00038
547.4000	-0.00024
547.2000	-0.00016
547.0000	-2E-005
546.8000	-0.00026
546.6000	-0.00021
546.4000	-0.00014
546.2000	-0.0005
546.0000	-0.00033
545.8000	9E-005
545.6000	7E-005
545.4000	-6E-005
545.2000	-0.00015
545.0000	-7E-005
544.8000	-0.00019
544.6000	-0.00033
544.4000	-0.00012
544.2000	-0.00016
544.0000	-0.00029
543.8000	-0.00018
543.6000	-0.00028
543.4000	-0.0002
543.2000	2E-005
543.0000	-0.00011
542.8000	-0.00017
542.6000	-5E-005
542.4000	-5E-005
542.2000	-0.0003
542.0000	-0.00016
541.8000	-9.99998E-006
541.6000	-5E-005
541.4000	-0.00012
541.2000	-0.00027
541.0000	-0.00016
540.8000	-0.00017
540.6000	-0.00011
540.4000	-7E-005
540.2000	-0.00011
540.0000	-0.00019
539.8000	-0.00038
539.6000	-0.00024
539.4000	-7E-005
539.2000	-0.00036
539.0000	-0.00052
538.8000	-0.00019
538.6000	0.0001
538.4000	-3E-005
538.2000	-0.00035
538.0000	-0.00041
537.8000	-0.00022
537.6000	-6E-005
537.4000	-7E-005
537.2000	-6E-005
537.0000	-0.00023
536.8000	-0.00053
536.6000	-0.00032
536.4000	2E-005
536.2000	-0.00011
536.0000	-0.00032
535.8000	-0.00038
535.6000	-0.00028
535.4000	-0.00014
535.2000	-0.00018
535.0000	-0.00038
534.8000	-0.0002
534.6000	-7E-005
534.4000	-0.00018
534.2000	3E-005
534.0000	-3E-005
533.8000	-0.00035
533.6000	-0.0001
533.4000	-5E-005
533.2000	-0.0002
533.0000	-0.00019
532.8000	-0.00027
532.6000	6E-005
532.4000	0.00023
532.2000	9E-005
532.0000	-0.00016
531.8000	-0.00022
531.6000	-0.0002
531.4000	-0.00016
531.2000	-0.00023
531.0000	-0.00025
530.8000	-0.00015
530.6000	-0.00037
530.4000	-0.00029
530.2000	3.87058E-011
530.0000	-7E-005
529.8000	-0.00016
529.6000	4.31016E-011
529.4000	-0.00011
529.2000	-0.00025
529.0000	-0.00018
528.8000	-0.00011
528.6000	-0.0001
528.4000	-0.00021
528.2000	1E-005
528.0000	-0.00015
527.8000	-0.00036
527.6000	-0.00026
527.4000	-0.00015
527.2000	0.00011
527.0000	-2E-005
526.8000	-7E-005
526.6000	-0.00019
526.4000	-0.00025
526.2000	-0.00011
526.0000	-0.00022
525.8000	-2E-005
525.6000	0.00013
525.4000	-0.00017
525.2000	-0.00046
525.0000	-0.0005
524.8000	-0.00031
524.6000	-0.00026
524.4000	-0.00022
524.2000	-0.00021
524.0000	-0.00034
523.8000	-0.00045
523.6000	-0.00025
523.4000	-0.0001
523.2000	-0.00022
523.0000	-0.00021
522.8000	-0.00014
522.6000	-0.00025
522.4000	-0.00028
522.2000	-0.00034
522.0000	-0.00025
521.8000	-8E-005
521.6000	-0.00016
521.4000	9.99999E-005
521.2000	-0.0001
521.0000	-0.00055
520.8000	-0.00041
520.6000	-0.00011
520.4000	-0.00014
520.2000	-0.00019
520.0000	-0.0001
519.8000	-0.00019
519.6000	-0.00012
519.4000	-0.00013
519.2000	-9.99996E-006
519.0000	-5E-005
518.8000	-0.00026
518.6000	-0.00017
518.4000	-0.00022
518.2000	-0.0002
518.0000	0.00026
517.8000	0.0001
517.6000	-0.00027
517.4000	-3E-005
517.2000	3E-005
517.0000	-0.00014
516.8000	-4E-005
516.6000	1E-005
516.4000	-0.00026
516.2000	-0.00026
516.0000	1E-005
