wl,val_Hglamp,val_a,val_b,int_Hglamp,int_a,int_b,pc_Hglamp,pc_a,pc_b
360,0.225301,0.000964,0.000546,15.0239836,0.681130604,0.048446886,66.684052,706.567017,88.73056
361,0.450602,0.001928,0.001093,30.0479672,1.362261209,0.096982502,,,
362,0.534448,0.00289,0.001184,35.63915822,2.041978679,0.105056983,,,
363,0.618293,0.000966,0.001001,41.23028256,0.682543738,0.088819291,,,
364,0.66326,0.000658,0.001191,44.22886433,0.464921097,0.105678097,,,
365,0.708228,0.00035,0.001381,47.22751278,0.247298456,0.122536903,,,
366,0.735211,0.000223,0.000763,49.02684855,0.157564445,0.067701417,,,
367,0.739416,0.000612,0.000832,49.30725499,0.432419014,0.073823826,,,
368,0.743621,0.001002,0.000901,49.58766143,0.707980151,0.079946235,,,
369,0.69016,0.001486,0.001003,46.02266533,1.049958587,0.088996752,,,
370,0.636699,0.00197,0.001106,42.45766922,1.391937023,0.098135999,,,
371,0.544507,0.002051,0.001254,36.3099331,1.449168952,0.111268122,,,
372,0.452315,0.002132,0.001403,30.16219698,1.50640088,0.124488976,,,
373,0.376432,0.001862,0.001462,25.10201106,1.315627786,0.129724079,,,
374,0.300549,0.001592,0.001345,20.04182514,1.124854691,0.119342603,,,
375,0.263936,0.001125,0.001383,17.60032195,0.794887894,0.122714364,,,
376,0.227323,0.000658,0.001421,15.15881875,0.464921097,0.126086126,,,
377,0.208691,0.000522,0.001365,13.9163615,0.368827983,0.121117214,,,
378,0.190058,0.000387,0.00131,12.67383756,0.273441436,0.116237034,,,
379,0.178478,0.000691,0.001219,11.90163623,0.488237809,0.108162553,,,
380,0.166897,0.000995,0.001128,11.12936823,0.703034182,0.100088072,,,
381,0.151877,0.00196,0.001129,10.12777377,1.384871353,0.100176802,,,
382,0.149944,0.002335,0.001157,9.998873493,1.649833985,0.102661258,,,
383,0.148012,0.001586,0.001186,9.870039905,1.120615289,0.105234444,,,
384,0.144745,0.001468,0.001453,9.652183107,1.037240381,0.128925504,,,
385,0.141478,0.001351,0.001721,9.434326309,0.95457204,0.152705294,,,
386,0.140099,0.000896,0.001784,9.342369001,0.633084047,0.158295319,,,
387,0.13872,0.000442,0.001658,9.250411693,0.312302622,0.147115268,,,
388,0.137756,0.000221,0.001399,9.186128267,0.156151311,0.124134053,,,
389,0.136792,0.000033,0.001139,9.121844841,0.023316712,0.101064108,,,
390,0.134372,0.000033,0.001057,8.960469435,0.023316712,0.093788202,,,
391,0.131951,0.000066,0.000974,8.799027345,0.046633423,0.086423565,,,
392,0.130354,0.000711,0.001089,8.692532914,0.502369149,0.09662758,,,
393,0.128758,0.001356,0.001205,8.586105167,0.958104875,0.106920325,,,
394,0.127181,0.00157,0.001234,8.480944417,1.109310217,0.109493511,,,
395,0.125604,0.001784,0.001176,8.375783667,1.260515558,0.104347139,,,
396,0.12502,0.001494,0.001285,8.336840181,1.055611123,0.11401877,,,
397,0.147148,0.001227,0.001373,9.812424884,0.86695773,0.121827059,,,
398,0.169277,0.000959,0.001461,11.28807627,0.677597769,0.129635348,,,
399,0.261421,0.00048,0.00113,17.43261156,0.339152168,0.100265533,,,
400,0.353566,0.000159,0.000798,23.57721353,0.112344156,0.070806987,,,
401,0.41923,0.000159,0.000997,27.95595512,0.112344156,0.088464368,,,
402,0.484895,0.000317,0.001195,32.33476339,0.223981744,0.106033019,,,
403,0.512547,0.000667,0.001334,34.1787108,0.4712802,0.118366567,,,
404,0.540199,0.001017,0.001473,36.02265821,0.718578656,0.130700115,,,
405,0.545232,0.001224,0.001223,36.35827904,0.864838029,0.108517475,,,
406,0.550265,0.001432,0.000973,36.69389987,1.011803968,0.086334835,,,
407,0.554115,0.001485,0.001221,36.95063347,1.04925202,0.108340014,,,
408,0.557965,0.001378,0.00147,37.20736707,0.973649349,0.130433923,,,
409,0.498931,0.001471,0.001164,33.27074075,1.039360082,0.103282372,,,
410,0.411714,0.000748,0.001034,27.45475779,0.528512129,0.091747399,,,
411,0.324497,0.000025,0.000904,21.63877482,0.017664175,0.080212426,,,
412,0.270127,0.000044,0.00094,18.01316291,0.031088949,0.083406726,,,
413,0.215756,0.000063,0.000977,14.38748432,0.044513722,0.086689757,,,
414,0.194092,0.000346,0.000884,12.94284102,0.244472188,0.078437815,,,
415,0.172427,0.000628,0.000791,11.49813103,0.443724087,0.070185873,,,
416,0.166092,0.00103,0.000928,11.07568756,0.727764028,0.08234196,,,
417,0.159757,0.001431,0.001064,10.6532441,1.011097401,0.094409316,,,
418,0.157572,0.001643,0.001132,10.50753944,1.160889609,0.100442994,,,
419,0.155387,0.00122,0.0012,10.36183479,0.862011761,0.106476672,,,
420,0.155783,0.001142,0.001358,10.38824167,0.806899533,0.1204961,,,
421,0.15618,0.001065,0.001516,10.41471524,0.752493873,0.134515529,,,
