wl_1,ref_1_ND64,wl_2,ref_2_ND64,wl_3,ref_3_ND64,Cu2O_1_77K_ND4,Cu2O_2_77K_ND1,Cu2O_3_77K_ND4,Cu2O_1_150K_ND4,Cu2O_1_296K_ND4,BG_23_ND64,BG_1_ND4
400,0.038718,560,0.67923,610,0.768373,-0.034315,0.435593,0.926527,-0.026091,-0.030038,-0.04659,-0.075108
400.02,0.03806,560.05,0.681459,610.05,0.764559,-0.034315,0.435893,0.92693,-0.026091,-0.028722,-0.04694,-0.047474
400.04,0.038389,560.1,0.681762,610.1,0.76862,-0.036289,0.437035,0.925375,-0.025104,-0.02938,-0.046114,-0.048132
400.06,0.036086,560.15,0.67974,610.15,0.766565,-0.030038,0.435912,0.926006,-0.027078,-0.032341,-0.047827,-0.047145
400.08,0.040034,560.2,0.678098,610.2,0.767167,-0.033328,0.435585,0.927614,-0.024446,-0.028064,-0.047748,-0.047803
400.1,0.036086,560.25,0.677459,610.25,0.766891,-0.030696,0.438099,0.929214,-0.022472,-0.03267,-0.047569,-0.047145
400.12,0.038389,560.3,0.679751,610.3,0.767717,-0.027736,0.438051,0.927714,-0.031025,-0.028722,-0.049264,-0.047145
400.14,0.03806,560.35,0.679003,610.35,0.767465,-0.030038,0.437809,0.929304,-0.027078,-0.033328,-0.04808,-0.046487
400.16,0.034113,560.4,0.681243,610.4,0.767973,-0.033328,0.438738,0.930701,-0.027736,-0.029051,-0.047272,-0.047145
400.18,0.035099,560.45,0.681412,610.45,0.768312,-0.031683,0.437222,0.930012,-0.028064,-0.030038,-0.04665,-0.046487
400.2,0.035757,560.5,0.683662,610.5,0.771278,-0.024775,0.437686,0.929891,-0.025433,-0.028722,-0.047793,-0.046816
400.22,0.036415,560.55,0.680046,610.55,0.771739,-0.031025,0.437051,0.929759,-0.027736,-0.034315,-0.046724,-0.045171
400.24,0.037073,560.6,0.682783,610.6,0.772012,-0.03596,0.438025,0.928743,-0.049119,-0.04879,-0.048187,-0.046158
400.26,0.042995,560.65,0.682999,610.65,0.77076,-0.033328,0.438833,0.931515,-0.02313,-0.032012,-0.047695,-0.047474
400.28,0.040034,560.7,0.681793,610.7,0.772205,-0.034315,0.439812,0.932038,-0.03596,-0.030038,-0.047016,-0.050764
400.3,0.041021,560.75,0.68332,610.75,0.770041,-0.029709,0.439457,0.931678,-0.040237,-0.032999,-0.04838,-0.043527
400.32,0.038389,560.8,0.684693,610.8,0.769986,-0.046816,0.438249,0.932354,-0.029051,-0.027407,-0.047906,-0.04254
400.34,0.037402,560.85,0.682699,610.85,0.769517,-0.036289,0.438217,0.934518,-0.02642,-0.043198,-0.046969,-0.047474
400.36,0.037402,560.9,0.684246,610.9,0.771715,-0.032012,0.439944,0.932107,-0.025104,-0.028064,-0.046029,-0.049777
400.38,0.039376,560.95,0.68373,610.95,0.77261,-0.032999,0.438712,0.931988,-0.024446,-0.034644,-0.045466,-0.048461
400.4,0.029178,561,0.683899,611,0.771197,-0.035302,0.439225,0.931509,-0.025104,-0.030367,-0.045037,-0.05208
400.42,0.036744,561.05,0.685188,611.05,0.77132,-0.032341,0.44037,0.930893,-0.027736,-0.030038,-0.04419,-0.047474
400.44,0.037073,561.1,0.686441,611.1,0.772005,-0.032341,0.439373,0.927683,-0.02642,-0.028064,-0.045032,-0.04879
400.46,0.041021,561.15,0.685172,611.15,0.77212,-0.043527,0.439583,0.925517,-0.024117,-0.032341,-0.044571,-0.046487
400.48,0.036086,561.2,0.686291,611.2,0.770415,-0.027407,0.441007,0.924317,-0.026091,-0.028393,-0.044132,-0.0455
400.5,0.039047,561.25,0.687125,611.25,0.770086,-0.027078,0.439423,0.925619,-0.02313,-0.02938,-0.046103,-0.046816
400.52,0.036744,561.3,0.686844,611.3,0.771281,-0.032012,0.43952,0.925259,-0.023788,-0.032012,-0.045571,-0.045171
400.54,0.036415,561.35,0.684894,611.35,0.770362,-0.031025,0.438907,0.926619,-0.02313,-0.028393,-0.046458,-0.058331
400.56,0.036086,561.4,0.685799,611.4,0.772136,-0.030367,0.438954,0.934952,-0.029051,-0.030038,-0.04464,-0.058989
400.58,0.03806,561.45,0.685446,611.45,0.772799,-0.025433,0.439317,0.938992,-0.024446,-0.02642,-0.045758,-0.060633
400.6,0.037073,561.5,0.685815,611.5,0.771089,-0.028064,0.43962,0.940476,-0.024117,-0.045829,-0.045827,-0.044184
400.62,0.027533,561.55,0.686833,611.55,0.771754,-0.045171,0.438557,0.940334,-0.02313,-0.02938,-0.045485,-0.047474
400.64,0.040034,561.6,0.687675,611.6,0.771691,-0.028393,0.439228,0.939415,-0.023788,-0.028064,-0.046114,-0.045829
400.66,0.038718,561.65,0.688997,611.65,0.771328,-0.029709,0.436804,0.942255,-0.024775,-0.027078,-0.046653,-0.047145
400.68,0.039705,561.7,0.686504,611.7,0.77116,-0.02938,0.437875,0.942431,-0.050764,-0.027078,-0.047672,-0.043855
400.7,0.037073,561.75,0.686049,611.75,0.77146,-0.030696,0.43948,0.941297,-0.023459,-0.02938,-0.048074,-0.051093
400.72,0.019308,561.8,0.685946,611.8,0.770233,-0.030696,0.440878,0.943829,-0.022801,-0.028722,-0.047674,-0.047474
400.74,0.042008,561.85,0.684786,611.85,0.769839,-0.030367,0.439602,0.942368,-0.025762,-0.0455,-0.047614,-0.046487
400.76,0.04135,561.9,0.687186,611.9,0.771454,-0.031025,0.441402,0.946348,-0.026749,-0.031025,-0.048214,-0.046487
400.78,0.040692,561.95,0.68547,611.95,0.770215,-0.03267,0.440738,0.943284,-0.023459,-0.031025,-0.04734,-0.041553
400.8,0.040692,562,0.687144,612,0.769896,-0.028393,0.440036,0.944132,-0.01984,-0.027736,-0.04535,-0.046158
400.82,0.038718,562.05,0.686428,612.05,0.769531,-0.031683,0.440136,0.943408,-0.02313,-0.030038,-0.045295,-0.054054
400.84,0.013058,562.1,0.686491,612.1,0.771404,-0.032341,0.439709,0.946519,-0.02313,-0.027078,-0.046235,-0.04879
400.86,0.039376,562.15,0.686694,612.15,0.771389,-0.028064,0.438988,0.945661,-0.023459,-0.026091,-0.045221,-0.04879
400.88,0.042337,562.2,0.686786,612.2,0.770096,-0.029051,0.439273,0.944595,-0.022801,-0.027407,-0.046211,-0.045829
400.9,0.030165,562.25,0.688528,612.25,0.771041,-0.029709,0.43858,0.946842,-0.036289,-0.028393,-0.0465,-0.04879
400.92,0.015361,562.3,0.686681,612.3,0.771562,-0.030367,0.438833,0.946321,-0.023459,-0.031025,-0.045669,-0.045171
400.94,0.04793,562.35,0.687333,612.35,0.771636,-0.030038,0.441378,0.948277,-0.022801,-0.030038,-0.045682,-0.045829
400.96,0.015361,562.4,0.686023,612.4,0.772734,-0.02642,0.440412,0.948416,-0.026091,-0.028064,-0.045629,-0.051422
