wl,ref_1,GaAs_1,wl_bg,bg_1,ref_2,GaAs_2,bg_2
700,3.218957,-0.011616,700,-0.012931,3.209746,-0.010958,-0.006352
700.02,3.21797,-0.018524,700.02,-0.019511,3.211391,-0.014247,-0.015892
700.04,3.216654,-0.018195,700.04,-0.010958,3.194942,-0.007997,-0.015234
700.06,3.217641,-0.011287,700.06,-0.010958,3.208759,-0.009971,-0.012274
700.08,3.217312,-0.015234,700.08,-0.014905,3.213365,-0.016221,-0.01655
700.1,3.216325,-0.015234,700.1,-0.011287,3.208759,-0.009313,-0.012602
700.12,3.219615,-0.0103,700.12,-0.014905,3.209088,-0.011616,-0.017866
700.14,3.220602,-0.016221,700.14,-0.011616,3.198561,-0.013589,-0.014576
700.16,3.216983,-0.013589,700.16,-0.012274,3.212707,-0.011287,-0.012931
700.18,3.213365,-0.011616,700.18,-0.01984,3.207114,-0.014576,-0.020498
700.2,3.21468,-0.017537,700.2,-0.013589,3.217312,-0.011945,-0.011287
700.22,3.213036,-0.017208,700.22,-0.012931,3.211062,-0.020827,-0.015563
700.24,3.221918,-0.018853,700.24,0.001544,3.209088,-0.010629,-0.082017
700.26,3.216983,-0.014576,700.26,-0.011287,3.212049,-0.014905,-0.009971
700.28,3.217312,-0.016221,700.28,-0.01326,3.21172,-0.010958,-0.019511
700.3,3.219944,-0.017208,700.3,-0.014576,3.213694,-0.005694,-0.010958
700.32,3.223563,-0.015563,700.32,-0.01655,3.215996,-0.013918,-0.019182
700.34,3.22126,-0.018524,700.34,-0.011287,3.212378,-0.011287,-0.010629
700.36,3.219944,-0.01326,700.36,-0.016221,3.21172,-0.016879,-0.015892
700.38,3.215667,-0.013589,700.38,-0.01984,3.210404,-0.011287,-0.014905
700.4,3.199218,-0.012931,700.4,-0.014905,3.217641,-0.018524,-0.041224
700.42,3.216325,-0.012602,700.42,-0.009313,3.207443,-0.012931,-0.010958
700.44,3.214023,-0.015563,700.44,-0.016879,3.21172,-0.012274,-0.047474
700.46,3.223563,-0.013918,700.46,-0.01655,3.210404,-0.01655,-0.008984
700.48,3.219615,-0.016879,700.48,-0.016879,3.215996,-0.01326,-0.020169
700.5,3.216983,-0.033986,700.5,-0.017537,3.214351,-0.012602,-0.017866
700.52,3.221918,-0.024446,700.52,-0.019511,3.209417,-0.026749,-0.011616
700.54,3.219286,-0.021485,700.54,-0.012274,3.208759,-0.012602,-0.018853
700.56,3.216654,-0.018195,700.56,-0.01326,3.211391,-0.01326,-0.011945
700.58,3.219944,-0.016879,700.58,-0.010629,3.205469,-0.039908,-0.013918
700.6,3.216654,-0.017866,700.6,-0.017537,3.199547,-0.037934,-0.021814
700.62,3.220602,-0.031354,700.62,-0.015234,3.212707,0.000557,-0.013589
700.64,3.218628,-0.017208,700.64,-0.017537,3.20514,-0.012931,-0.019182
700.66,3.215996,-0.014247,700.66,-0.016221,3.20843,-0.011616,-0.016221
700.68,3.217641,-0.043527,700.68,-0.014247,3.207772,-0.026749,-0.016221
700.7,3.215996,-0.018524,700.7,-0.017866,3.202508,-0.015563,-0.02642
700.72,3.223892,-0.017866,700.72,-0.017537,3.202837,-0.020827,-0.012602
700.74,3.221589,-0.019182,700.74,-0.011945,3.207114,-0.015892,-0.017866
700.76,3.222247,-0.023788,700.76,-0.018195,3.210075,-0.008655,-0.02313
700.78,3.221589,-0.011616,700.78,-0.010629,3.212049,-0.01326,-0.017208
700.8,3.215338,-0.014576,700.8,-0.009313,3.212707,-0.007997,-0.013589
700.82,3.22126,-0.013918,700.82,-0.014905,3.204811,-0.014576,-0.017866
700.84,3.229484,-0.017866,700.84,-0.010958,3.201192,-0.018853,-0.017208
700.86,3.218628,-0.029051,700.86,-0.016879,3.197903,-0.012274,-0.013589
700.88,3.217312,-0.0103,700.88,-0.015892,3.206456,-0.020169,-0.014576
700.9,3.218628,-0.014576,700.9,-0.012602,3.206456,-0.008984,-0.013589
700.92,3.216654,-0.012602,700.92,-0.01655,3.208759,-0.011287,-0.018524
700.94,3.196258,-0.015563,700.94,-0.010958,3.212378,-0.012602,-0.018524
700.96,3.195271,-0.014905,700.96,-0.011945,3.206456,-0.036289,-0.014905
700.98,3.219944,-0.016221,700.98,-0.017866,3.207772,-0.016879,-0.012602
701,3.221918,-0.028064,701,-0.01326,3.209088,-0.014247,-0.007339
701.02,3.216654,-0.017537,701.02,-0.013918,3.212378,-0.013589,-0.012602
701.04,3.217641,-0.022143,701.04,-0.025762,3.212707,-0.018195,-0.014247
701.06,3.217312,-0.018853,701.06,-0.016879,3.208101,-0.010629,-0.018195
701.08,3.215996,-0.013918,701.08,-0.016221,3.214351,-0.009642,-0.009971
701.1,3.219615,-0.009642,701.1,-0.019182,3.211062,-0.009313,-0.01655
701.12,3.214023,-0.011616,701.12,-0.016879,3.209417,-0.017537,-0.017866
701.14,3.210075,-0.015234,701.14,-0.01326,3.204482,0.002202,-0.012274
701.16,3.215338,-0.01326,701.16,-0.014247,3.208101,-0.017537,-0.018524
701.18,3.214351,-0.015563,701.18,-0.014247,3.20843,-0.009642,-0.011945
701.2,3.212049,-0.015563,701.2,-0.01655,3.190665,-0.015234,-0.007668
701.22,3.212049,-0.012931,701.22,-0.013589,3.218628,-0.00701,-0.010629
701.24,3.215996,-0.017208,701.24,-0.01326,3.198561,-0.013589,-0.062936
701.26,3.214023,-0.017537,701.26,-0.01326,3.20514,-0.014247,0.006149
701.28,3.209746,-0.015563,701.28,-0.025433,3.213365,-0.007997,-0.052409
