wl1_12_ND64,H1_1_ND64,H1_2_ND64,wl2_12_ND8,H2_1_ND8,H2_2_ND8,wl3_1,H3_1,wl3_2,H3_2,wl4_12,H4_1,H4_2,wl5_12,H5_1,H5_2,wl6_1,H6_1,wl6_2,H6_2
654,-0.007997,-0.006681,484,-0.007997,-0.006681,431,-0.007668,432,-0.001088,408,-0.006352,-0.001088,395,-0.006681,-0.003062,387,-0.003062,387,-0.004378
654.02,-0.007339,-0.007668,484.02,-0.007339,-0.004707,431.02,-0.007339,432.02,-0.002404,408.02,-0.005365,-0.003391,395.02,-0.004049,-0.001417,387.02,-0.002075,387.02,-0.005036
654.04,-0.009313,-0.007668,484.04,-0.007997,-0.006023,431.04,-0.008326,432.04,-0.000759,408.04,-0.005694,-0.003062,395.04,-0.004378,-0.001417,387.04,-0.004707,387.04,-0.005365
654.06,-0.00701,-0.00701,484.06,-0.007668,-0.00701,431.06,-0.009313,432.06,0.000228,408.06,-0.005694,-0.003391,395.06,-0.005036,0.000557,387.06,-0.005694,387.06,-0.004378
654.08,-0.008326,-0.00701,484.08,-0.007997,-0.00701,431.08,-0.007997,432.08,-0.001417,408.08,-0.006352,-0.002075,395.08,-0.005365,-0.002075,387.08,-0.003062,387.08,-0.004707
654.1,-0.008984,-0.004378,484.1,-0.009313,-0.006681,431.1,-0.006681,432.1,-0.00043,408.1,-0.006681,-0.001417,395.1,-0.005694,-0.002075,387.1,-0.00372,387.1,-0.006023
654.12,-0.007668,-0.005694,484.12,-0.007668,-0.006681,431.12,-0.008984,432.12,0.000228,408.12,-0.006352,-0.002075,395.12,-0.007997,-0.002075,387.12,-0.003062,387.12,-0.006023
654.14,-0.006681,-0.006352,484.14,-0.007339,-0.006681,431.14,-0.008655,432.14,0.006149,408.14,-0.005036,-0.001417,395.14,-0.006023,-0.002075,387.14,-0.001417,387.14,-0.006023
654.16,-0.00701,-0.005365,484.16,-0.007339,-0.005365,431.16,-0.007668,432.16,0.020953,408.16,-0.006352,-0.003062,395.16,-0.006352,-0.002404,387.16,-0.002733,387.16,-0.005694
654.18,-0.008984,-0.006023,484.18,-0.007997,-0.005365,431.18,-0.007668,432.18,0.047601,408.18,-0.005365,-0.001417,395.18,-0.007668,-0.002075,387.18,-0.002404,387.18,-0.005036
654.2,-0.009313,-0.004378,484.2,-0.006023,-0.008655,431.2,-0.007997,432.2,0.072932,408.2,-0.005036,-0.002733,395.2,-0.006352,-0.002404,387.2,-0.001417,387.2,-0.004707
654.22,-0.007997,-0.004707,484.22,-0.00701,-0.00701,431.22,-0.007997,432.22,0.11241,408.22,-0.005365,-0.003062,395.22,-0.005036,-0.001417,387.22,0.001215,387.22,-0.003391
654.24,-0.009313,-0.006023,484.24,-0.007668,-0.003391,431.24,-0.006681,432.24,0.128858,408.24,-0.004707,-0.001417,395.24,-0.004049,-0.00372,387.24,-0.000759,387.24,-0.003062
654.26,-0.008655,-0.005694,484.26,-0.005365,0.004833,431.26,-0.007339,432.26,0.182153,408.26,-0.004707,-0.003062,395.26,-0.005036,0.000228,387.26,-0.002404,387.26,-0.001417
654.28,-0.008655,-0.007668,484.28,-0.002404,0.023914,431.28,-0.008984,432.28,0.218999,408.28,-0.005694,-0.001746,395.28,-0.002075,-0.000101,387.28,-0.000759,387.28,-0.000759
654.3,-0.007997,-0.007339,484.3,0.010755,0.042995,431.3,-0.007997,432.3,0.205511,408.3,-0.004707,-0.00372,395.3,0.000228,-0.00043,387.3,0.000228,387.3,-0.00043
654.32,-0.007997,-0.00701,484.32,0.029836,0.070629,431.32,-0.008655,432.32,0.217025,408.32,-0.00372,-0.001417,395.32,0.005491,0.00286,387.32,0.003517,387.32,0.000557
654.34,-0.00701,-0.00701,484.34,0.05089,0.10254,431.34,-0.007668,432.34,0.243014,408.34,-0.004707,-0.00372,395.34,0.006149,0.00582,387.34,0.000557,387.34,0.001544
654.36,-0.011616,-0.006681,484.36,0.077867,0.131819,431.36,-0.006681,432.36,0.251897,408.36,-0.004049,-0.004049,395.36,0.005162,0.006478,387.36,0.00286,387.36,0.000886
654.38,-0.010629,-0.007668,484.38,0.112081,0.156493,431.38,-0.006352,432.38,0.258805,408.38,-0.00372,-0.005036,395.38,0.006807,0.00582,387.38,0.001873,387.38,-0.000101
654.4,-0.009642,-0.006681,484.4,0.146623,0.189391,431.4,-0.005694,432.4,0.254857,408.4,-0.005365,-0.002404,395.4,0.007136,0.010426,387.4,0.000228,387.4,0.002202
654.42,-0.007668,-0.008326,484.42,0.167349,0.182482,431.42,-0.006023,432.42,0.222946,408.42,-0.006023,-0.001746,395.42,0.010097,0.008781,387.42,0.002531,387.42,0.000557
654.44,-0.008655,-0.009642,484.44,0.19268,0.184785,431.44,-0.007997,432.44,0.214064,408.44,-0.006681,-0.002075,395.44,0.006478,0.008452,387.44,0.000886,387.44,0.000886
654.46,-0.010958,-0.007339,484.46,0.176889,0.186101,431.46,-0.006681,432.46,0.216367,408.46,-0.005694,0.000886,395.46,0.007794,0.014374,387.46,0.001544,387.46,-0.000101
654.48,-0.008326,-0.006681,484.48,0.205511,0.182811,431.48,-0.006352,432.48,0.203208,408.48,-0.006023,0.003517,395.48,0.00582,0.010097,387.48,0.001873,387.48,-0.001088
654.5,-0.007668,-0.007668,484.5,0.198931,0.18314,431.5,-0.006352,432.5,0.16702,408.5,-0.004049,0.009439,395.5,0.008452,0.009768,387.5,0.001215,387.5,-0.000759
654.52,-0.008326,-0.007997,484.52,0.17985,0.166033,431.52,-0.005694,432.52,0.129187,408.52,-0.002075,0.016019,395.52,0.002531,0.011084,387.52,0.000557,387.52,-0.000101
654.54,-0.007339,-0.009971,484.54,0.18314,0.195641,431.54,-0.005365,432.54,0.081157,408.54,-0.000759,0.026875,395.54,0.003189,0.010097,387.54,-0.000759,387.54,-0.002075
654.56,-0.008655,-0.008326,484.56,0.204853,0.163401,431.56,-0.005365,432.56,0.053193,408.56,0.004504,0.026875,395.56,0.003846,0.009439,387.56,-0.001417,387.56,-0.002404
654.58,-0.008984,-0.008984,484.58,0.191036,0.135438,431.58,-0.006352,432.58,0.035757,408.58,0.014374,0.039705,395.58,0.003846,0.00911,387.58,0.000228,387.58,-0.001417
654.6,-0.012602,-0.008655,484.6,0.172284,0.10254,431.6,-0.006352,432.6,0.012071,408.6,0.023914,0.046285,395.6,-0.000101,0.006149,387.6,-0.00043,387.6,-0.002733
654.62,-0.008326,-0.008326,484.62,0.133464,0.084775,431.62,-0.006023,432.62,-0.001088,408.62,0.021282,0.04793,395.62,-0.002404,0.003517,387.62,-0.001417,387.62,-0.00372
654.64,-0.007997,-0.007997,484.64,0.110436,0.055496,431.64,-0.007339,432.64,-0.00372,408.64,0.031152,0.046285,395.64,-0.004049,0.002531,387.64,-0.002075,387.64,-0.005694
654.66,-0.009642,-0.010629,484.66,0.082472,0.038389,431.66,-0.009642,432.66,-0.00701,408.66,0.035099,0.046943,395.66,-0.006023,0.001873,387.66,-0.001417,387.66,-0.004378
654.68,-0.007668,-0.007339,484.68,0.05747,0.017335,431.68,-0.007997,432.68,-0.005694,408.68,0.042008,0.054509,395.68,-0.004707,-0.001088,387.68,-0.001746,387.68,-0.004378
654.7,-0.00701,-0.012931,484.7,0.035099,0.00286,431.7,-0.007997,432.7,-0.004378,408.7,0.03806,0.046943,395.7,-0.005036,-0.002404,387.7,-0.001746,387.7,-0.00372
654.72,-0.000759,-0.0103,484.72,0.016348,-0.004378,431.72,-0.007997,432.72,-0.006023,408.72,0.052206,0.04464,395.72,-0.005365,-0.003391,387.72,-0.002733,387.72,-0.004049
654.74,0.017664,-0.0103,484.74,0.003517,-0.005036,431.74,-0.008326,432.74,-0.004378,408.74,0.044969,0.054509,395.74,-0.005694,-0.004049,387.74,-0.002733,387.74,-0.005036
654.76,0.036415,-0.008984,484.76,-0.002733,-0.004707,431.76,-0.008326,432.76,-0.003062,408.76,0.043324,0.052864,395.76,-0.004707,-0.00372,387.76,-0.002075,387.76,-0.003391
654.78,0.060431,-0.002075,484.78,-0.004707,-0.005036,431.78,-0.007668,432.78,-0.003391,408.78,0.056812,0.037073,395.78,-0.005365,-0.004049,387.78,-0.001088,387.78,-0.005365
654.8,0.083459,0.011084,484.8,-0.006023,-0.004707,431.8,-0.007339,432.8,-0.004378,408.8,0.038718,0.030823,395.8,-0.007339,-0.001746,387.8,-0.001417,387.8,-0.005694
654.82,0.106488,0.031152,484.82,-0.003062,-0.006023,431.82,-0.007997,432.82,-0.005036,408.82,0.042337,0.031152,395.82,-0.005365,-0.004378,387.82,-0.001417,387.82,-0.00372
654.84,0.125569,0.048917,484.84,-0.003391,-0.006023,431.84,-0.008655,432.84,-0.005694,408.84,0.038718,0.018651,395.84,-0.005365,-0.004049,387.84,-0.001088,387.84,-0.00372
