wl,2ms_1,2ms_2,200ms_1,200ms_2,thr_1,thr_2
434,-0.006023,-0.006681,-0.011945,-0.007997,0.043324,-0.068529
434.02,-0.004049,-0.007997,-0.007997,-0.008655,0.064708,0.003189
434.04,-0.001417,-0.005694,-0.009971,-0.007997,0.174587,-0.091886
434.06,-0.003062,-0.008655,-0.010958,-0.007997,-0.290919,0.19268
434.08,-0.001746,-0.007668,-0.010629,-0.008655,0.148268,0.036415
434.1,-0.006681,-0.005365,-0.009642,-0.008984,-0.260324,-0.081359
434.12,-0.001417,-0.005036,-0.009642,-0.008326,-0.197818,0.051877
434.14,-0.003391,-0.005694,-0.008984,-0.008655,0.200247,-0.149129
434.16,-0.004049,-0.007997,-0.011616,-0.008984,-0.024775,0.13478
434.18,0.001215,-0.006023,-0.009971,-0.007339,-0.22611,-0.070174
434.2,-0.003391,-0.006681,-0.010958,-0.007668,-0.528442,1.242452
434.22,0.000228,-0.004378,-0.0103,-0.007668,-0.234663,0.316377
434.24,-0.000101,-0.006023,-0.011616,-0.007668,0.080828,0.147939
434.26,-0.004049,-0.004378,-0.009971,-0.007997,-0.18433,0.102211
434.28,-0.002404,-0.005694,-0.009313,-0.008984,-0.012931,0.05418
434.3,0.000557,-0.007668,-0.009642,-0.007668,0.161098,0.048917
434.32,-0.000759,-0.007668,-0.009971,0.007465,-0.280391,-0.149787
434.34,0.005162,-0.00701,-0.009313,0.055825,0.335128,0.125569
434.36,0.090368,-0.002733,-0.008326,0.118989,-0.126758,0.325588
434.38,0.40224,-0.003062,-0.010629,0.156822,-0.276444,-0.020169
434.4,0.557189,0.024243,-0.009971,0.158467,0.016348,-0.009642
434.42,0.453232,0.308152,-0.004707,0.144321,0.140373,-0.146168
434.44,0.180837,0.535477,0.031481,0.122608,-0.20341,-0.411654
434.46,0.029507,0.532845,0.095632,0.103856,0.41836,0.0703
434.48,0.004833,0.296967,0.158138,0.089381,0.745365,0.05089
434.5,0.002202,0.072603,0.187746,0.075893,0.478892,-0.068529
434.52,-0.001746,0.007794,0.179521,0.065037,-0.089255,0.053851
434.54,0.003846,0.001544,0.155835,0.052206,0.088723,-0.046158
434.56,0.00286,0.000228,0.132148,0.042337,0.134122,0.114054
434.58,-0.000101,-0.002733,0.113067,0.036086,-0.183672,0.21209
434.6,0.004504,-0.001088,0.095961,0.032139,0.056812,-0.215583
434.62,-0.002404,-0.005365,0.082472,0.02523,0.082143,0.098921
434.64,0.003517,-0.004049,0.070958,0.020624,-0.141233,-0.165249
434.66,-0.004049,-0.00701,0.059773,0.016348,0.273609,0.326246
434.68,0.000886,-0.005694,0.051548,0.011084,-0.210648,-0.034973
434.7,-0.002075,-0.00372,0.039376,0.008452,-0.453763,0.119976
434.72,-0.000759,-0.005365,0.031481,0.00582,-0.272167,-0.205384
434.74,-0.003391,-0.006023,0.025559,0.004833,0.049575,-0.104717
434.76,-0.002733,-0.005365,0.022598,0.003846,-0.215911,-0.511006
434.78,0.000886,-0.006681,0.018322,0.000557,-0.045171,-0.14222
434.8,-0.004707,-0.004707,0.012071,0.000557,0.030494,-0.356057
434.82,-0.004049,-0.006352,0.010755,-0.00043,-0.018853,0.191364
434.84,-0.004707,-0.008655,0.00582,-0.002075,-0.159985,0.039047
434.86,-0.00043,-0.004378,0.003846,-0.003062,0.155177,0.413754
434.88,0.001215,-0.007668,0.002202,-0.004049,0.075564,-0.00701
434.9,-0.00372,-0.00372,0.000886,-0.003062,-0.318882,0.116357
434.92,-0.003391,-0.006681,-0.000759,-0.005036,0.102869,-0.330067
434.94,-0.00043,-0.006023,-0.000759,-0.004707,-0.035631,-0.390928
434.96,-0.004049,-0.007668,-0.003391,-0.005365,0.301572,0.32822
434.98,-0.002733,-0.00701,-0.003391,-0.005365,0.308481,0.071287
435,0.000228,-0.007339,-0.003062,-0.006681,0.072274,-0.004707
435.02,-0.005694,-0.004378,-0.004707,-0.006681,0.032797,0.091026
435.04,0.000886,-0.008655,-0.005365,-0.00701,0.395331,-0.221833
435.06,-0.005036,-0.006681,-0.006023,-0.007997,-0.053067,-0.028064
435.08,-0.001417,-0.00372,-0.004707,-0.007997,0.123595,0.037731
435.1,-0.000759,-0.006352,-0.006352,-0.007339,0.292032,-0.351451
435.12,-0.006352,-0.005694,-0.007668,-0.006352,-0.149458,0.302888
435.14,-0.001417,-0.004378,-0.00701,-0.004049,-0.02938,-0.175776
435.16,-0.00372,-0.007997,-0.007339,-0.007339,-0.336976,0.165046
435.18,-0.001746,-0.003391,-0.006681,-0.006352,0.143005,-0.144194
435.2,0.000886,-0.004707,-0.00701,-0.007339,0.04464,-0.201765
435.22,-0.003391,-0.006352,-0.00701,-0.00701,-0.147155,-0.042869
435.24,-0.004049,-0.004049,-0.008655,-0.007339,0.180508,-0.175118
435.26,-0.000101,-0.006352,-0.007997,-0.006352,-0.235979,-0.182027
435.28,-0.000759,-0.00701,-0.008655,-0.00701,0.165375,0.132148
435.3,-0.002404,-0.005694,-0.008326,-0.007668,0.314403,-0.173802
435.32,-0.001088,-0.005365,-0.008984,-0.007339,-0.001417,-0.029709
435.34,0.003189,-0.004707,-0.008984,-0.007339,-0.096163,0.127214
435.36,-0.001746,-0.00701,-0.00701,-0.007339,0.092013,0.141689
435.38,-0.002404,-0.00701,-0.008984,-0.007339,-0.171828,-0.021485
435.4,-0.002733,-0.007668,-0.008984,-0.007997,-0.278418,0.176231
435.42,0.001215,-0.006352,-0.008326,-0.007997,0.114054,-0.014905
435.44,-0.002404,-0.00701,-0.008655,-0.008326,-0.1488,-0.591934
435.46,0.005162,-0.004049,-0.007668,-0.006352,0.017664,-0.331054
435.48,-0.004049,-0.009971,-0.009642,-0.00701,0.094645,-0.227426
435.5,0.001873,-0.006352,-0.008326,-0.007339,-0.020827,-0.06491
435.52,-0.003062,-0.007339,-0.008655,-0.007997,-0.235979,0.15748
435.54,-0.004378,-0.003391,-0.008326,-0.007668,0.079512,0.079512
435.56,0.00286,-0.006352,-0.008655,-0.00701,0.132148,0.083788
435.58,-0.001088,-0.005694,-0.008326,-0.007668,-0.429419,-0.195186
435.6,-0.005036,-0.008326,-0.008326,-0.009642,0.014703,0.225907
435.62,-0.001746,-0.008326,-0.009313,-0.008655,0.119647,-0.061949
435.64,-0.005365,-0.006023,-0.008326,-0.009313,-0.298485,0.214064
435.66,-0.000759,-0.007668,-0.008655,-0.007997,-0.190909,-0.27447
435.68,-0.005036,-0.006023,-0.007997,-0.007668,-0.003391,-0.159656
435.7,-0.006023,-0.007668,-0.008655,-0.007668,0.173271,-0.101756
435.72,-0.000101,-0.007339,-0.009313,-0.009313,-0.405732,0.261437
435.74,-0.006023,-0.006681,-0.008655,-0.008984,-0.126429,-0.242888
435.76,-0.001746,-0.003391,-0.009642,-0.007997,-0.06491,-0.192225
