wl,hg_1,hg_2,bg_1,bg_2
300,0.004504,0.008452,0.003517,0.00582
300.02,0.00582,0.005491,0.003517,0.004175
300.04,0.006807,0.007136,0.005162,0.004833
300.06,0.009439,0.008781,0.00582,0.003189
300.08,0.004833,0.006149,0.006149,0.00582
300.1,0.006807,0.00911,0.001873,0.002202
300.12,0.007794,0.009768,0.003517,0.002531
300.14,0.006478,0.00911,0.006807,0.002531
300.16,0.00582,0.007794,0.006478,0.002202
300.18,0.007794,0.009768,0.004504,0.004175
300.2,0.005162,0.006807,0.000886,0.006807
300.22,0.005491,0.006149,0.003189,0.004175
300.24,0.005162,0.007794,0.002531,0.005491
300.26,0.008781,0.007465,0.003846,0.005491
300.28,0.006478,0.007465,0.008452,0.005162
300.3,0.00582,0.009439,0.003189,0.004175
300.32,0.005162,0.008781,0.001873,0.004175
300.34,0.001544,0.006149,0.002531,0.006807
300.36,0.008123,0.004175,0.003846,0.003846
300.38,0.005491,0.00582,0.00582,0.007136
300.4,0.006807,0.007465,0.005162,0.004175
300.42,0.007136,0.006807,0.00286,0.003846
300.44,0.005491,0.007465,0.000886,0.007136
300.46,0.004175,0.006478,0.004833,0.002202
300.48,0.007136,0.006807,0.002202,0.004175
300.5,0.00582,0.009439,0.003846,0.005162
300.52,0.00582,0.00582,0.004175,0.005162
300.54,0.008123,0.00582,0.004833,0.005491
300.56,0.008123,0.004833,0.003846,0.005162
300.58,0.007136,0.006149,0.005491,0.003846
300.6,0.011413,0.005162,0.004833,0.007136
300.62,0.008781,0.009439,0.002531,0.006478
300.64,0.009439,0.00582,0.004504,0.003517
300.66,0.007465,0.008781,0.001215,0.007794
300.68,0.008123,0.00582,0.004504,0.005162
300.7,0.007136,0.00911,0.004175,0.005491
300.72,0.00911,0.008781,0.004833,0.006807
300.74,0.006478,0.006807,0.003846,0.007794
300.76,0.010755,0.00582,0.003517,0.006478
300.78,0.007136,0.007794,0.003517,0.006478
300.8,0.00911,0.007794,0.006478,0.008452
300.82,0.006478,0.004833,0.003517,0.005491
300.84,0.010097,0.006478,0.006478,0.007136
300.86,0.006149,0.006478,0.005491,0.006478
300.88,0.009439,0.007794,0.003189,0.006478
300.9,0.004833,0.006807,0.004504,0.006478
300.92,0.006478,0.007794,0.00582,0.005162
300.94,0.006478,0.004833,0.004833,0.005162
300.96,0.006149,0.006807,0.004175,0.004504
300.98,0.005491,0.00286,0.008123,0.008123
301,0.009768,0.008781,0.004833,0.004175
301.02,0.008452,0.009439,0.00582,0.004833
301.04,0.005491,0.007465,0.006807,0.003517
301.06,0.010097,0.005162,0.005162,0.006478
301.08,0.008123,0.00582,0.003846,0.007136
301.1,0.004833,0.006478,0.005491,0.004833
301.12,0.006149,0.008452,0.005491,0.007465
301.14,0.006807,0.007465,0.003846,0.008781
301.16,0.005162,0.005162,0.002202,0.004504
301.18,0.006807,0.007794,0.003189,0.003189
301.2,0.006478,0.007136,0.005491,0.006478
301.22,0.006149,0.008452,0.004504,0.00582
301.24,0.00911,0.007794,0.004175,0.004504
301.26,0.005162,0.00582,0.004833,0.004175
301.28,0.007465,0.010426,0.003189,0.006807
301.3,0.005162,0.008123,0.008452,0.006478
301.32,0.005491,0.00582,0.004175,0.005162
301.34,0.007136,0.007465,0.007465,0.007794
301.36,0.002531,0.008123,0.006149,0.004175
301.38,0.005491,0.006478,0.004833,0.003846
301.4,0.00582,0.003517,0.004833,0.005491
301.42,0.007794,0.006478,0.004833,0.002531
301.44,0.005162,0.004175,0.004175,0.00286
301.46,0.007465,0.008781,0.004175,0.007794
301.48,0.006478,0.007465,0.003517,0.007794
301.5,0.009768,0.007465,0.00286,0.005162
301.52,0.008123,0.007794,0.004175,0.005162
301.54,0.007794,0.009768,0.006807,0.008452
301.56,0.006478,0.00911,0.00286,0.005162
301.58,0.008123,0.008452,0.001873,0.005491
301.6,0.005491,0.009439,0.005491,0.006478
301.62,0.003517,0.006807,0.004175,0.007794
301.64,0.005491,0.006478,0.00582,0.008123
301.66,0.006478,0.008781,0.003846,0.003846
301.68,0.005162,0.006478,0.003189,0.005162
301.7,0.005162,0.008781,0.005162,0.008123
301.72,0.005491,0.008452,0.007136,0.006807
301.74,0.004833,0.007465,0.00286,0.006478
301.76,0.005491,0.009439,0.003846,0.006478
301.78,0.005491,0.008123,0.004504,0.00582
301.8,0.007136,0.007136,0.001215,0.00582
301.82,0.00911,0.008781,0.006149,0.008452
301.84,0.009439,0.011084,0.00582,0.006807
301.86,0.009439,0.008123,0.004833,0.008123
301.88,0.004833,0.010097,0.006807,0.006478
301.9,0.004175,0.007136,0.004833,0.004504
301.92,0.006478,0.010097,0.004833,0.005162
301.94,0.008452,0.010426,0.002202,0.005491
301.96,0.006478,0.009439,0.007794,0.008452
301.98,0.010426,0.008123,0.000886,0.004833
302,0.004504,0.00911,0.00582,0.00582
302.02,0.008781,0.006478,0.004833,0.008123
302.04,0.006149,0.007794,0.003189,0.006478
302.06,0.010097,0.009768,0.006807,0.00582
302.08,0.008781,0.007465,0.004175,0.005162
302.1,0.006149,0.006478,0.00582,0.006149
302.12,0.006149,0.009439,0.006478,0.003846
302.14,0.006807,0.006149,0.00286,0.005162
302.16,0.009768,0.006478,0.006478,0.006478
302.18,0.007136,0.008781,0.002531,0.004504
302.2,0.008123,0.007136,0.003517,0.004175
302.22,0.007794,0.007794,0.002531,0.003846
302.24,0.006149,0.010426,0.001544,0.006149
302.26,0.004504,0.011084,0.004175,0.005162
302.28,0.008452,0.007794,0.004833,0.007136
302.3,0.007465,0.008452,0.003846,0.006478
302.32,0.006149,0.007136,0.006478,0.005162
302.34,0.007136,0.006478,0.006478,0.008123
302.36,0.007794,0.00582,0.00582,0.005491
302.38,0.007136,0.007136,0.004175,0.004175
302.4,0.010097,0.00911,0.006478,0.009439
302.42,0.006149,0.006807,0.003517,0.005162
302.44,0.008781,0.007794,0.006478,0.00582
302.46,0.00582,0.006807,0.001544,0.005491
302.48,0.008452,0.005162,0.005162,0.007465
302.5,0.005491,0.004833,0.004175,0.00582
302.52,0.007136,0.00582,0.007794,0.004175
302.54,0.007465,0.006478,0.00582,0.006149
302.56,0.00582,0.008123,0.005491,0.003517
302.58,0.007794,0.00911,0.003517,0.006807
302.6,0.00911,0.005491,0.004175,0.007794
302.62,0.006478,0.006807,0.004504,0.007794
302.64,0.008452,0.008123,0.003846,0.007465
302.66,0.009439,0.005491,0.003517,0.007794
302.68,0.004833,0.008123,0.003189,0.007136
302.7,0.007794,0.00911,0.003189,0.009439
302.72,0.007794,0.010097,0.006807,0.006149
302.74,0.007794,0.006149,0.001873,0.007465
302.76,0.005491,0.007136,0.005491,0.007136
302.78,0.005491,0.006478,0.003189,0.004175
302.8,0.00911,0.009768,0.004504,0.006807
302.82,0.005162,0.004504,0.00582,0.006478
302.84,0.005491,0.010097,0.003189,0.00911
302.86,0.006807,0.00911,0.005162,0.006478
302.88,0.007136,0.005491,0.005162,0.006807
302.9,0.006149,0.00911,0.004504,0.006149
302.92,0.008452,0.006807,0.006149,0.008123
302.94,0.008452,0.00582,0.003189,0.006807
302.96,0.007136,0.007794,0.004175,0.008781
302.98,0.007136,0.008123,0.000886,0.008123
303,0.006149,0.007136,0.003846,0.006807
303.02,0.008452,0.007794,0.006149,0.007136
303.04,0.009768,0.007465,0.003517,0.006478
303.06,0.008123,0.007794,0.007794,0.007794
303.08,0.010755,0.006807,0.003846,0.004833
303.1,0.00911,0.004833,0.007465,0.006478
303.12,0.010426,0.008452,0.006149,0.007794
303.14,0.007465,0.007794,0.007794,0.00582
303.16,0.007136,0.007465,0.004833,0.006149
303.18,0.010097,0.008452,0.006807,0.00582
303.2,0.008452,0.005162,0.006478,0.007794
303.22,0.006807,0.00582,0.006478,0.002202
303.24,0.008123,0.005162,0.006478,0.007136
303.26,0.00582,0.010426,0.005162,0.003517
303.28,0.007794,0.006807,0.005162,0.006807
303.3,0.009439,0.007136,0.006478,0.004175
303.32,0.006149,0.006807,0.006149,0.005162
303.34,0.009768,0.00911,0.006807,0.001215
303.36,0.009439,0.006478,0.003517,0.002531
303.38,0.007794,0.007794,0.004833,0.004175
303.4,0.008123,0.008452,0.003189,0.00582
303.42,0.010426,0.007794,0.006478,0.004833
303.44,0.006807,0.007136,0.006149,0.003189
303.46,0.00582,0.010097,0.006149,0.005491
303.48,0.010755,0.007794,0.006807,0.00286
303.5,0.008781,0.006149,0.004175,0.006478
303.52,0.008452,0.008123,0.007136,0.004833
303.54,0.010097,0.009768,0.005162,0.004504
303.56,0.013058,0.010097,0.005491,0.006807
303.58,0.008452,0.00582,0.006478,0.004833
303.6,0.010426,0.007465,0.007465,0.003846
303.62,0.010426,0.007465,0.006149,0.004833
303.64,0.008123,0.010097,0.007465,0.005491
303.66,0.009439,0.006807,0.006807,0.004175
303.68,0.007136,0.00582,0.005491,0.004175
303.7,0.008123,0.008781,0.008781,0.00286
303.72,0.010755,0.008452,0.00582,0.007136
303.74,0.007794,0.004175,0.006478,0.003517
303.76,0.004833,0.008452,0.007465,0.006478
303.78,0.006807,0.007465,0.007465,0.00582
303.8,0.007465,0.010755,0.003846,0.003189
303.82,0.008123,0.008123,0.010097,0.003846
303.84,0.009439,0.005162,0.004175,0.004175
303.86,0.007465,0.006807,0.003846,0.003846
303.88,0.010097,0.00582,0.005491,0.00286
303.9,0.010097,0.006149,0.00582,0.003846
303.92,0.00911,0.006149,0.007136,0.001873
303.94,0.00911,0.007465,0.004175,0.003189
303.96,0.009439,0.005162,0.004175,0.00286
303.98,0.009439,0.008781,0.005162,0.001215
304,0.009439,0.008123,0.00582,0.004175
304.02,0.009439,0.006478,0.006149,0.002202
304.04,0.007794,0.005491,0.00911,0.003189
304.06,0.009768,0.005491,0.005491,0.005162
304.08,0.007794,0.007465,0.005491,0.002531
304.1,0.008452,0.009439,0.006478,0.004504
304.12,0.007794,0.006807,0.006149,0.004175
304.14,0.008452,0.008452,0.004504,0.004175
304.16,0.006807,0.007794,0.008781,0.006478
304.18,0.008452,0.006478,0.004175,-0.000759
304.2,0.008781,0.004504,0.006807,0.004175
304.22,0.008452,0.007465,0.005162,0.007465
304.24,0.00911,0.004504,0.005162,0.001873
304.26,0.008123,0.004833,0.003846,0.005491
304.28,0.011742,0.005162,0.006149,0.00582
304.3,0.011084,0.006807,0.004175,0.005491
304.32,0.011413,0.00582,0.005491,0.004833
304.34,0.008452,0.003846,0.007465,0.004504
304.36,0.008123,0.007136,0.008452,0.002202
304.38,0.007136,0.007794,0.00582,0.00286
304.4,0.007794,0.006478,0.003846,0.004504
304.42,0.011084,0.007794,0.003846,0.003846
304.44,0.008123,0.006807,0.008123,0.000228
304.46,0.009439,0.008123,0.005491,0.005162
304.48,0.006807,0.004175,0.008452,0.002202
304.5,0.006807,0.003189,0.006478,0.004504
304.52,0.00911,0.004175,0.005162,0.005491
304.54,0.006478,0.00582,0.00911,0.004504
304.56,0.006807,0.006149,0.007794,0.00286
304.58,0.008123,0.006478,0.007136,0.004504
304.6,0.008123,0.006807,0.006478,0.003189
304.62,0.011413,0.005162,0.004833,0.002202
304.64,0.007794,0.010426,0.006807,0.001544
304.66,0.008123,0.006478,0.004504,0.003189
304.68,0.00911,0.007465,0.006807,0.002531
304.7,0.007136,0.008123,0.005491,0.001544
304.72,0.005162,0.00911,0.004833,0.002531
304.74,0.007136,0.004504,0.003189,0.003189
304.76,0.008123,0.009768,0.005491,0.001873
304.78,0.006478,0.00582,0.007136,0.005491
304.8,0.006807,0.007465,0.008123,0.004833
304.82,0.00582,0.007136,0.011084,0.006478
304.84,0.007794,0.004833,0.004833,0.00582
304.86,0.010755,0.007794,0.005491,0.001215
304.88,0.008123,0.007136,0.004833,0.004504
304.9,0.007136,0.006478,0.005491,0.003189
304.92,0.005162,0.00582,0.008123,0.004833
304.94,0.007136,0.005162,0.005491,0.007136
304.96,0.00582,0.006807,0.005162,0.000557
304.98,0.006149,0.007794,0.003189,0.002531
305,0.00911,0.005162,0.005491,0.004833
305.02,0.008123,0.009439,0.007465,0.003517
305.04,0.008452,0.004833,0.005162,0.000886
305.06,0.006478,0.007794,0.006478,0.006807
305.08,0.011084,0.007794,0.005491,0.002531
305.1,0.006478,0.005162,0.006478,0.004833
305.12,0.006807,0.007136,0.005491,0.003517
305.14,0.009439,0.007136,0.003517,0.005491
305.16,0.006807,0.007794,0.008452,0.004175
305.18,0.006149,0.006478,0.005491,0.005491
305.2,0.006149,0.00582,0.006478,0.003846
305.22,0.007794,0.005162,0.007136,0.004504
305.24,0.006478,0.007794,0.00582,0.00582
305.26,0.009768,0.004175,0.003189,0.005491
305.28,0.007794,0.006478,0.006149,0.005162
305.3,0.009439,0.007465,0.006807,0.003846
305.32,0.008452,0.006807,0.006807,0.006478
305.34,0.008123,0.004504,0.004833,0.006807
305.36,0.006478,0.00582,0.004504,0.003846
305.38,0.007794,0.005162,0.005162,0.005491
305.4,0.011084,0.00582,0.006807,0.003517
305.42,0.009439,0.007794,0.007465,0.005162
305.44,0.006807,0.007465,0.008123,0.003517
305.46,0.006478,0.006478,0.008452,0.00286
305.48,0.008452,0.001873,0.006478,0.00286
305.5,0.007465,0.006478,0.007794,0.004175
305.52,0.00911,0.007794,0.008452,0.005162
305.54,0.006478,0.00582,0.008452,0.006807
305.56,0.007465,0.003517,0.009439,0.00582
305.58,0.006807,0.005491,0.011084,0.006478
305.6,0.009439,0.006149,0.007465,0.005491
305.62,0.006807,0.006478,0.007136,0.001873
305.64,0.006807,0.004833,0.009439,0.003189
305.66,0.007465,0.007136,0.007794,0.007136
305.68,0.006149,0.008123,0.00911,0.002531
305.7,0.008452,0.007136,0.00911,0.003189
305.72,0.006478,0.002531,0.010097,0.006149
305.74,0.006807,0.002202,0.009768,0.002202
305.76,0.007465,0.008452,0.006807,0.006807
305.78,0.007136,0.006478,0.007794,0.001544
305.8,0.007136,0.007136,0.009439,0.006478
305.82,0.005162,0.007465,0.009439,0.005162
305.84,0.007794,0.007794,0.006149,0.003846
305.86,0.00582,0.007794,0.007465,0.003189
305.88,0.005162,0.006807,0.00911,0.004175
305.9,0.007136,0.006478,0.006807,0.002531
305.92,0.005491,0.004504,0.006149,0.00582
305.94,0.00582,0.004504,0.008781,0.002202
305.96,0.007465,0.003189,0.007136,0.004504
305.98,0.007465,0.007465,0.009439,0.005162
306,0.006807,0.004504,0.005491,0.00286
306.02,0.00582,0.003846,0.010097,0.006478
306.04,0.008452,0.00582,0.010097,0.00286
306.06,0.004175,0.011413,0.007465,0.006478
306.08,0.006149,0.007794,0.008452,0.004833
306.1,0.007465,0.00286,0.004833,0.004175
306.12,0.008781,0.006478,0.007794,0.006149
306.14,0.005162,0.005491,0.010097,0.004504
306.16,0.006478,0.003517,0.008123,0.007465
306.18,0.007136,0.007794,0.010755,0.003846
306.2,0.008452,0.003189,0.006807,0.006807
306.22,0.00911,0.00286,0.008123,0.004175
306.24,0.008123,0.004833,0.007465,0.001873
306.26,0.007136,0.007465,0.00911,0.003517
306.28,0.007136,0.005491,0.008452,0.00582
306.3,0.007136,0.005162,0.007136,0.003846
306.32,0.007465,0.006149,0.010097,0.006149
306.34,0.007794,0.007794,0.008452,0.001544
306.36,0.00582,0.00911,0.007794,0.003846
306.38,0.012729,0.006807,0.008781,0.004504
306.4,0.006807,0.006149,0.008452,0.00582
306.42,0.00911,0.006807,0.010097,0.004504
306.44,0.010097,0.006149,0.011742,0.004833
306.46,0.007465,0.00582,0.011742,0.004175
306.48,0.004504,0.005491,0.011413,0.007136
306.5,0.006807,0.003846,0.006478,0.008452
306.52,0.007136,0.007465,0.008452,0.004833
306.54,0.008452,0.005491,0.010097,0.002202
306.56,0.007794,0.004504,0.010097,0.005491
306.58,0.012071,0.004833,0.008123,0.005162
306.6,0.008452,0.008123,0.011084,0.004833
306.62,0.007794,0.005491,0.008123,0.003517
306.64,0.007136,0.005491,0.009439,0.004175
306.66,0.007136,0.005162,0.006478,0.003846
306.68,0.004504,0.006478,0.008123,0.005491
306.7,0.008781,0.006807,0.007136,0.003846
306.72,0.007465,0.005491,0.00911,0.006478
306.74,0.008123,0.004504,0.006807,0.006149
306.76,0.007136,0.007136,0.006478,0.00582
306.78,0.007794,0.00582,0.006478,0.006807
306.8,0.008123,0.004833,0.009768,0.010755
306.82,0.004504,0.003517,0.007794,0.004175
306.84,0.009439,0.003517,0.010097,0.004175
